content,score,sentimen
"kenapa ovopaylater sy limitnya,jd berkurang sangat2 terjun payung,dr dpt limit 6 jt,skrng cmn dpt limit 100k pdhal sy selalu byr tpt waktu atau sblm jatuh tempo,tlng dijelaskan ia ovopaylater",4,positive
kenapa ovo paylater saya ada limit tiba tiba hilang,5,positive
ramah bgt,5,positive
bagus,5,positive
👍👍👍,5,positive
pelayanan baik,5,positive
"grab sekarang gajelas ya, saya dikasih driver jauh jauh terus, kurang ajar emang ini grab. disuruh nunggu lama? situ kalo nunggu lama mau ga? pasti gamau kan. tolong lahh pihak grab ngotak dikit kalo ngasih driver jangan yang jauh jauh, cari yang sekitaran area customer!!!",1,negative
"hapus smua akses yang menggunakan data saya , hapus semua bug",1,negative
bintang,5,positive
taaik,1,negative
good ...yes,5,positive
setiap saya mau order gocar selalu ditolak terus dan sering nunggu lama dan sering kali udh mau nyampe ditolak. lama bgt hampir 3 jam saya nunggu,1,negative
"cukup memuaskan, supir nya Ramah",5,positive
bagus,5,positive
mantaf,5,positive
sangat sangat memuaskan bapak ojol ini,5,positive
ovo paylater saya sudah 6.000.000 dan sering digunakan belanja dan bayar tagihan jauh sebelum jatuh tempo. Kenapa tiba-tiba jadi Rp.1 limit paylater saya ? Tolong di jawab min,1,negative
sangat membantu👍,5,positive
sip n mamtap,5,positive
"dari pembayaran sudah mudah bgt, love grab",5,positive
mantap,5,positive
pelayanannya mantaap,5,positive
"Dog keeps updating, I know my storage won't fit, I uninstalled 5 applications on my cellphone, still can't install after updating, pig dick, this is the Grab application.",1,negative
"penggunaan harus wajib pakai No HP, masa pakai No tlp kantor bisa dimasukan, gampang sekali buat penipuan dan yang dirugikan restoran dan driver.",1,negative
sekian lama baru kembali ke grab semoga tetap gercep ambil penumpang nya gak banyak drama . tetap grab yang terbaik,5,positive
baik 👍,5,positive
"hari KMKu, x ko kan",5,positive
nyaman dan manfaat,5,positive
"Lah kenapa tiba"" ovo paylaternya menjadi 1 , saya mau mengunakan jadi tidak bisa mohon untuk bantuanya",3,neutral
"gajelass, semua drivernya nolak, orang udh kelaparan nungguin, ngawur, padahal deket semuaa, gada yg mau ambil",1,negative
mas nya ramah,5,positive
ok banget,5,positive
josss,5,positive
good job,5,positive
Tiada perubahaan selain aplikasi ride and car jelek promonya abal2 poin nya bohong2an harusnya uda ditegur Ylki tambah parah nih grab mending ganti hijau satunys,1,negative
mantap,5,positive
"saya beli makan yang 30 menitan sampai tapi terlambat sampek sejam gara"" double order.",3,neutral
Sudah nunggu lama ga sulit dibatalkan,2,negative
Tolonglah iklan nya jangan di tengah layar. saya lagi buru buru pas mau cek lari terus ke playstore doownload iklan itu. ini penting!!,2,negative
Mantap,5,positive
jelek bgt,1,negative
mau melaporkan min ini kan saya mau membayar token listrik habis itu saldo saya kurang saat mau membayar setelah itu saya top up dulu sehabis itu mau bayar lagi tidak ada tagihan tersebut tapi di history di proses gimana itu min?,2,negative
sangat baik,5,positive
semangat,5,positive
ongkos naik 80%,1,negative
Baik dan sopan,5,positive
"kenapa paylater tiba² berubah jadi Rp 1 ? sedangkan limit saya ada Rp 5.000.000,- kenapa tiba² berubah seperti ini ??",1,negative
sangat membantu,5,positive
di terima order malah ikang aplikasi ampas,1,negative
sangat membantu sekali aplikasi ini,5,positive
mantap,5,positive
very satisfactory,5,positive
cepat dan ramah,5,positive
sangat baik,5,positive
pelayanan.ramah nyamah.bagus.terimakasih,5,positive
kenapa ovo paylaternya tiba2 hilang ya.. padahal saya bayarnya bener ga pernah telat.. tolong donk dilihat transaksinya gmn saya.. saya bnr loh knp tiba2 pas cek hilang ya jadi nol.. padahal saya sudah menggunakan grab bertahun2 ada kali lebih dari 5thn tp diaitu bacaannya tidak bisa digunakan karna kurang dr 6 bulan.. wah grab gmn deh,1,negative
sesuai intruksi,5,positive
sekarang grab udh g kayak dulu... diskon nya udh g berguna.. semua nya sangat mahal sekarang 😭,3,neutral
oke,5,positive
Suka eror saat ngaitkan ke ovo dan di komplain cuma bot doang,1,negative
tks ya org baik abang grab,5,positive
saya setuju dengan ada nya grab car untuk mempermudah perjalanan saya dan suami saya wslm ibu neti,5,positive
tolong aplikator greb aktifkan akun saya lagi tuh bukan saya yang censel tapi dari cs,5,positive
bagus,5,positive
"good job,, htur nhun🙏",5,positive
ok,5,positive
sangat baik,5,positive
ok,5,positive
ok,5,positive
ckp puas,5,positive
ramah,5,positive
"naik grab hemat..emang nikmat sih, mana lagi yang dicari pensiunan selain harga ekonomis...thx 4 u grab",5,positive
"susah grab ini ,gabisa nyari pengemudi,lambat ,ganbisa tolong kita untuk berpergian pas lagi buru buru.",1,negative
alpikator anjig babi,1,negative
baik,5,positive
knapa limit ovopaylater nya tiba2 jd 0 pdhal belum di pake dan sdh d bayar belum pernah telat juga!!!!!,1,negative
👍,5,positive
Alhamdulillah sangat memudahkan perjalanan,5,positive
mkasih,5,positive
bagus sekali 👍,5,positive
"hai kak, mohon maaf, saya mendapati penjualan miras di aplikasi grabfood.. apakah itu diperbolehkan? jika tidak, mohon ditindak dengan tegas penjualan miras secara bebas di aplikasi anda🙏",4,positive
grab ini kebiasaan ngasih abg grab yg jauh lokasinya. udah gitu ga bsa d batalin. tlong perbaiki sistemnya,1,negative
"grab lama"" ngeselin pas mw login akun malah akun ad di tangguhkan bodoh",1,negative
update map blok bikin sulit aja,1,negative
👍👍👍👍mantap layanan grab,5,positive
Mantaaafff 👍,5,positive
"saya dapet gojek ga jalan jalan trs. dan udh sering bgt dpt driver yg cancle pesanan saya, ini apk niat ga ya untuk memberikan manfaat yg baik bagi pengguna nya?",2,negative
ga ada promo,1,negative
supirnya baik bgt,5,positive
puas lah dengan Grab .,5,positive
"mana tombol pembatalan pesanan nya kalo saya sebagai customer ada masalah gimana, tombol pembatalan pesanan kok udh hilang dari yang bagus jadi jelek gini apk nya",1,negative
keren,5,positive
smpah banget posisi driver yang dekat malah sllu dikasi driver yang jauh mana suka lama cari mitranya gak ngerti lagi 👎🏻👎🏻👎🏻,1,negative
baik dan ramah,5,positive
tetep amanah kak,5,positive
baik,1,negative
mantap bpknya sopan,5,positive
pokok mantap lahh membantu sekali dan tolong Jan berkurang utk kualitas pelayanan nyaa,5,positive
mantap,5,positive
it's.okayy....,5,positive
"gara-gara grab nego, LCGC jadi nggak laku. payah.",1,negative
Layanan cepat dan pengemudi sopan dan santun...,5,positive
Pelayanannya mantap,5,positive
update kok setiap hari..dengan pencarian titik lokasi juga susah ..parah bgt,3,neutral
baik dan ramah sekali,5,positive
mantap.. enak sopan nyaman,5,positive
"Ayam bakarnya enak, sambelnya nampolllll🤤👍👍",5,positive
aplikasi yang kurng bagus,1,negative
Oke bgt,5,positive
males banget sama grab di buat bolak balik pluhan x cm mau ganti no doank,1,negative
pengalaman terburuk saya semalam dokumen saya masih ada di driver saya sudah tf driver tapi saya di suruh ambil driver lain buat ambil berkas saya saya sudah pesan driver lain tapi dia tidak ada bagaimana cara saya menindak lanjuti driver ini,1,negative
"Masih Banyak Driver yang meminta uang lebih dari aplikasi dan transaksi secara offline, sering terjadi ketika jam - jam malam dini hari dan pagi dini hari, dan dari grab tidak ada solusi",1,negative
"recomen,bnyk membantu",5,positive
fdk bisa atur ulang aplikasi greb,1,negative
bagus,5,positive
baguss pelayanan,5,positive
bagus,5,positive
tolong di aktifkan payleter saya,5,positive
baik,5,positive
oke,5,positive
mantqb,5,positive
"tolong dong bagi driver yg gamau ambil jngn di ambaikan, customer kadang butuh waktu cepat, si driver malah cuek, di chat aja ke kami ga bisa jemput beres, ga harus nunggu anda...",2,negative
good,5,positive
👍,5,positive
👍,5,positive
susuai pesanan saya,5,positive
ribet sekali updatenya,3,neutral
👍🏻,5,positive
"aplikasi ojol termurah di kalangan pelajar.. sedikit cerita saya pelajar yang Nyambi kerja saya juga selalu mengalami kesulitan saat transportasi karena saya tidak memiliki sepeda motor tapi gpp tetap ada grab yang selalu di hati para pelajar murah, aman, nyaman, the Best... terimakasih🙏🏻🤗",5,positive
"tidak ramah untuk dříver, pengeluaran biaya untuk customer 15ribu dan driver hanya dapat 8rb saja. merdeka bgt yg punya aplikasi",1,negative
loading terus utk masuk autifikasi akun melalui whatsaps,1,negative
terbaik cuma pernah punya pengalaman buruk sopir grab cancel pdhl udh nunggu lama bgt posisi bawa bayi udh mau magrib bawaan bnyak.. coba sih sopir2 di beri pelajaran biar gk suka cancel sepihak sembarangan🥲,5,positive
bagus,5,positive
"kebiasaan grab tuh kalau belum diperbaharui suka wajib diperbarui kalau mau pake, kalau gak diperbarui ya gak bisa dipake. ini tuh ganggu banget kalau lagi buru-buru. kasih pengingat aja, karena gak semua orang hp nya punya memori kosong, dan buat perbarui aplikasi tuh perlu waktu. jadi gak efisien sistem ini tuh",3,neutral
"TIDAK bisa CANCEL dan kadang responnya lama sekali, sehingga kita sudah lapar duluan dan disaat nunggu makanan datang sudah keburu bisa masak mie, karena lamanya 30 menit. Respon Restaurant juga lama dan mau Cancel juga tidak bisa",4,positive
sangat baik👍,5,positive
JELEK,1,negative
Cuma gegara restoran yang mau saya pesan menunya rame banget sampai dicancel 2 kali ama drivers!,1,negative
Terbaik,5,positive
oke,5,positive
"pemotongan banyak sekali,masa jualan offline kami dapat Rp.20000 di sini cmn di bayar 9000 an",1,negative
"aneh..kenapa mesti dapet driver jauh kalo yg Deket"" ada!!!benahi tolong",2,negative
bagus,5,positive
sangat berguna dan banyak diskon sehingga harga murah murah,5,positive
ok,5,positive
mantap,5,positive
"iklan dimana mana tp aplikasi tidak seberapa, dari jatinangor ke Bandung aja tidak bisa padahal cm 15KM, ter cancel sendiri dari aplikasi nya",1,negative
alhamdulillah👍,5,positive
"..r mm, mm. tu .t .t, .. ... m... .... ...h t .v bybt mm .. b GG Shy bgt tgl ehh gb BB GG b dereng t ehh h GG egg bbcv go ydf GT ggr drg ku. .. .. m . . no m.t.",1,negative
"makin ribet skrng mhh grab , penumpang harus vermuk dlu sebelum pesan , gimna klo lagi urgent di tambah hp ny susah buat buka kamera depan.",1,negative
ramah baik☺️,5,positive
pengiriman sampe sejam lebih...lol,1,negative
makasih..🙏,5,positive
sangat membantu,5,positive
pelayanan bagus,5,positive
mantap,5,positive
sangat membantu,5,positive
"banyak promo, sopir baik, kendaraan bersih",5,positive
Grab Mantap Pokok Nya. 👍,5,positive
"alasan saya memberi bintang 1: karena ukuran aplikasi semakin besar jika tdk diupdate maka aplikasi tidak bisa digunakan, untuk apa update aplikasi jika tidak ada fitur baru dan perbqikan aplikasi? saya tegaskan sekali lagi update aplikasimu tidak ada gunanya justru membuat ukuran aplikasi semakin besar dan tidak bisa digunakan jika tidak diupdate",1,negative
puas layanan,4,positive
red,2,negative
best,5,positive
puas,5,positive
nyaman,5,positive
nyaman,5,positive
mantap,5,positive
good,5,positive
good job,5,positive
memuaskan pelayan sanggat baik sopan dan ramah,5,positive
is the best,5,positive
"pakai grab membantu setiap aktivitas, terimaksih",5,positive
pekerjaan paling hina ya driver... pendapatan/penghasilan sering di manipulasi sama sistem... sering di omelin sama customer klo telat ngajemput atau mengantar makanan/paket... pendapatan tidak sebanding dengan pengeluaran... belum lagi di tambah banyak nya potongan yang di ambil dari pendapatan nya... kasian yang jadi driver... banyak rugi nya.,1,negative
bagus,5,positive
update berkali² ngabisin data aja padahal penyimpanan masih banyak banget,1,negative
kasih bintang 1 saya mengalami penipuan dari supir grab tapi tidak bisa menghubungi email grab di arah kan ke cal center jakarta lagi ........udah kena musibah malah disuruh tlp jakarta pake biaya lagi,1,negative
manteppp,4,positive
ok banget,5,positive
best,4,positive
hatur nuhun,5,positive
bagus trm,5,positive
wa ala bisa ya,1,negative
simple,5,positive
sangat mudah,5,positive
"Pakai prioritas, Pelayanan sangat buruk sekali.. Sudah komplain ke call centre.. Tidak ada solusi nya.. Chat di putuskan..",1,negative
terima kasih sesuai pesanan,4,positive
grab cepat dan baik,5,positive
bagus berguna,5,positive
ok sagat membantu,4,positive
"trimakasih buat grab yg telah mengantar perjalanan ku dengan baik sampai ke tempat tujuan, dengan driver yang ramah",5,positive
yaaaa,4,positive
trimakasih mas,5,positive
"payah grab. untuk pengembalian dana sangan lama. pdhl kesalahan dr merchant dan sistemnya sendiri. chat bot tidak membantu. tidak ada layanan via customer service lamgsung. AI boleh, tp tetap butuh manusia yg responsif",2,negative
nyaman pengemudi ramah,5,positive
mantap,5,positive
sangat membantu,5,positive
bagus sekali,5,positive
sangat membantu sekali,5,positive
pelayanan bagus,5,positive
Sangat membantu😄,5,positive
mantap,5,positive
terbaik,5,positive
sangat membantu,5,positive
cukup membatu klo ngk ada ojek,5,positive
sanggat membantu dalam waktu mendesak👍🫶,5,positive
sangat baik,5,positive
sangat membantu dan hemat waktu...,5,positive
Terima kasih banyak 🙏,5,positive
berjalan dengan baik,5,positive
mantap dan nyaman serta mengerti jalan,5,positive
keren,5,positive
sangat membantu dalam berkendaraan hilir mudik satu tempat ke tempat lain praktis dan simpel,5,positive
semoga lebih baik dan baik,5,positive
baik,5,positive
ok banget,5,positive
"terkadang drivernya ambil orderan,tp kadang kita yg suruh batalin jika mereka tdk mau ambil. dan terkadang orderan sudah diambil tp arahnya bukan ke lokasi si pemesan tp ke lokasi lain dengan alasan ada keperluan",1,negative
Ter the best,5,positive
ok,5,positive
mantap,5,positive
Pagi ini drivernya cepat tanggap dan aman,5,positive
"GIMANA SIHH GRAB, KATANY NUNGGUIN CUMA 4 MENIT, SAYA NUNGGUIN DRIVER SAMPE 10 MENIT GA SAMPE SAMPE TAPI DI WAKTUNYA BARU JALAN 3 MENIT.",2,negative
susah cari driver di jam pagi,1,negative
"puas,dan nyaman",4,positive
mantap,5,positive
sangat bagus,3,neutral
Akun saya diblokir,1,negative
cocok buat yang suka kelaparan tengah malam,5,positive
ok banget,5,positive
so far so good,5,positive
mantap,5,positive
Good job,4,positive
orang nya ramah baik,5,positive
"Thanks for reaching out! Choose an option below or describe your issue in one single message, and we'll try to find the right solution for you. 🙏",5,positive
good,5,positive
kecewa banget pas order makanan ga bisa chat resto dan ga bisa cancel pesanan padahal blom dapet driver,4,positive
pokoke mantaaap.,5,positive
grab maknyos semakin merakyat,5,positive
cepat dan tanggap,5,positive
saya sangat puas,5,positive
mantap,5,positive
tolong pantau terus ojol yg menggunakan FAKE GPS capek nunggu sumpah 20mnt!?,4,positive
baik,5,positive
penting sekali,4,positive
🤩,5,positive
baik dalam pelayanan,5,positive
"gak banget biaya penanganan dan biaya aplikasi lu buat grabfood, kikir",2,negative
sangat membantu sekali,1,negative
"aplikasi emot ,padahal sinyal bagus",2,negative
sangat membantu,5,positive
puas,5,positive
sangat membantu,5,positive
mantap biasa nya susah nyari greb di ciberem,5,positive
mantap,5,positive
baik,5,positive
nyata,5,positive
"saat dibutuhkan, malah minta update dulu...",2,negative
orderan skgdlm bentuk gandeng sehinggaa pesanan lama sampainya..,3,neutral
aplikasi nya sangat membantu saya dalam menjalankan ke hidupan Sahari Hari,5,positive
ok,5,positive
akun ku gakbisa di masukin tolong di perbaiki,1,negative
terbaik,5,positive
mantap,5,positive
pelayanan baik,5,positive
cepat nyaman,5,positive
tolong kasih Metode pembayaran pakai ShopeePay dong miin atau dana,4,positive
pelayanan nya ramah,5,positive
baik,5,positive
driver ramah dan profesional,5,positive
sangat membantu,5,positive
Good,4,positive
"toko lagi gangguan , belanjaan tidak bisa di input, tapi batalin pesanan susahnya setengah mampus.",1,negative
sangat mmbntu,5,positive
ramah,5,positive
mantap,5,positive
baik,5,positive
"pernah pesan minuman dingin,kok lama bgt pikirku ...ehh ternyata yg nganter pesanan naik sepeda.gila ngga sih dan kebiasaan ojol,motor nya ga sesuai aplikasi...",1,negative
bagus cumaa kadang nge lag,4,positive
tingkatkan lagi,5,positive
60% puas..Tingkatkan pelayanan..bagus..dipertahankan n d tingkatkan kebersihan mobil n keramahan supir. serta paham Map. .,5,positive
bagus,5,positive
ramah,5,positive
yg terbaik dan nyaman ....,5,positive
tidak dapat penjemputan,1,negative
baik sekali,5,positive
baik,5,positive
sangat membantu dan tidak ribet,5,positive
aplikasi ini sangat membantu saya,5,positive
saya lebih suka driver grab ramah baik cepet juga kalo pesan makanan atau paket instan mantap,5,positive
good,5,positive
terbaik,5,positive
good,5,positive
grab mantap semoga kedepannya makin sukses,5,positive
sippp,5,positive
mantap,5,positive
PEMBAYARAN TIDAK BISA TUNAI!! SANGAT MENYULITKAN!!! TIDAK BERGUNA!!,1,negative
bagus aplikasiny,5,positive
"Terimakasih pelayanan Grab Bike Bagus Murah dan Cepat, Supirnya ramah dan baik",5,positive
"tks, sangatmembantu",5,positive
sempurna next order lagi,5,positive
sangat membantu dalam kendaraan,5,positive
pesanan sesuai ekspektasi,4,positive
sangat bagus...tepat waktu dan ramah,4,positive
bagus sekai,5,positive
mmbantu disaat tak ada kendaraan,5,positive
merasa terbantu,1,negative
baik,5,positive
Selamat pagi kepada admin GRAB saya selaku Pelanggan tetap ojol minta tolong jangan kebanyakan promo mulu kasihan sama mitra driver aplikasi yang lain yang mencari rezeki gara² kebanyakan promonya mulu nihh mohon info lebih lanjut dan terima kasih,1,negative
! nnaon wkwkwkwkw k alaman O l lqqqq n ada l am wkwk kkq llqllll wkwkwkwkwkwkwkwk l lwallllpl,4,positive
bgus,5,positive
membantu,5,positive
Terima kasih pengantaran dengan cepat dan aman,5,positive
ramah,5,positive
nyaman,3,neutral
semakin bingung memakai aplikasi ini pengen cakap kotor anj,5,positive
bike hemat sngat membantu 😎,4,positive
alhamdulillah sangat menyenang dan sopan,5,positive
nice app,5,positive
baik,5,positive
"Tolong perbaiki Ovo paylaternya karna tidak bisa di buka ! sedangkan di email ada tagihan.. saya mau liat tidak bisa malah tulisannya ""gagal memuat konten"" TOLONG DI PERBAIKI",5,positive
aplikasi top dengan sekali klik kita bisa pesan apapun dan pengiriman cepat banget kok pokoknya mantap tapi murahin dikit dong ongkos ongkir masa makananya masih mahalan ongkos kirim masa di kota sendiri tp mahal banget ongkirnya,5,positive
saya sering menggunakan aplikasi ini ketika sedang bepergian dan aplikasi ini sangat membantu dalam perjalanan terutama waktu ke luar daerah.,5,positive
nice,5,positive
cepat,5,positive
"aplikasi busuk suka layar putih jangan didownload, download yg lain aja",1,negative
bagus,5,positive
sangat mantap bos,5,positive
pertahankan kepercayaan konsumen,5,positive
"ramah, sopan, tepat waktu, nyaman",5,positive
keren,5,positive
baik ramah,5,positive
oke dreve nya baik hati,5,positive
mantap,5,positive
mantab Joss,5,positive
"salam grab ada yang ingin saya tanyakan 1. pada aplikasi ini (Grab Taxi&food delivery)pada menu navigasi terdapat tampilan beberapa driver yang tampak dalam map navigasi tersebut. ada yang berwarna hijau, kuning, ungu dan mereh . pada satu driver terkadang warnya berubah 2. apa arti warna dari driver tesebut. mohon penjelasannya",5,positive
Bentar up date bentar up date celeh,1,negative
driver ramah jg rapi,5,positive
Kecewa bgt sama drivernya yg red flag parah!! Kalo 1-2 sih mending lah ini hampir semuanyaaaa :) Emg sebelum di acc jadi driver kgk ada test psikologi dulu ? Jujur sangat merugikan cust bgt :) Udah mah kita yg nunggu lama pas dateng eh drivernya ngegas² + nyolot gak jelas! Pdhl kalo gak niat diambil mending bilang dr awal biar bisa di cancel dan cari driver yg lain! Lah ini udah mah kita yg nunggu eh drivernya seenaknya maki² cust bener² ATTITUDE NOL!!,1,negative
sangat okey,5,positive
"pesan mie gacoan 4 item yang dikirim cuma 3 item,baru pertama x pake aplikasi grab uda kecewa💔",1,negative
"agak kesel sebenernya si tiap buka apk ini pasti suruh update terus, mna jarang bgt dpet diskon makanan lgi",3,neutral
mantap,5,positive
sangat membantu,5,positive
grab bermanfaat...tolong breafing driver bluebird agar ketika kursi 6 siap dg 6 penumpang kursi 4 siap dg 4 penumpang,5,positive
ada yg bgs ada yg cuek,5,positive
mantap simple gak ribet,5,positive
suscec sllu,5,positive
all in the best 👍👍,5,positive
